"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Baseline - 51h TSD",0.012333737919316,0.0532536645409557,52.9471172183386,0.231603553025548,1
"2","Baseline - 75h TSD",0.256056285996239,0.0532536645409557,52.9471172183386,4.80823785937425,3.90411013347665e-05
"3","51h TSD - 75h TSD",0.243722548076923,0.054317974277259,50.81541199172,4.48695945163332,0.000124714128058697
"4","Baseline - 51h TSD",-0.0468338750367832,0.0640275378409215,53.1767595897402,-0.731464563781033,1
"5","Baseline - 75h TSD",0.0395657980401399,0.0640275378409215,53.1767595897402,0.6179497037422,1
"6","51h TSD - 75h TSD",0.0863996730769231,0.0655747323323999,51.1423378675517,1.31757568813184,0.580553774519541
"7","Baseline - 51h TSD",-0.295584450105339,0.226711603403481,51.6978029328477,-1.30379056769884,0.594242752778818
"8","Baseline - 75h TSD",-0.3359499116438,0.226711603403481,51.6978029328479,-1.481838188255,0.433360330754189
"9","51h TSD - 75h TSD",-0.0403654615384615,0.228630222880507,50.1729094816377,-0.176553480243766,1
"10","Baseline - 51h TSD",-0.0378460830497873,0.0482659248970141,52.8714706121114,-0.784115981006064,1
"11","Baseline - 75h TSD",-0.0422474253574797,0.0482659248970141,52.8714706121114,-0.875305413656194,1
"12","51h TSD - 75h TSD",-0.00440134230769248,0.04917942734213,50.7401811716746,-0.0894955989843751,1
"13","Baseline - 51h TSD",0.269949984341039,0.0831480833094696,52.6957454278976,3.24661704270812,0.0060994507777385
"14","Baseline - 75h TSD",0.391983013187193,0.0831480833094696,52.6957454278976,4.7142759951335,5.44824527631209e-05
"15","51h TSD - 75h TSD",0.122033028846154,0.0845434053728161,50.5974095192865,1.44343640178696,0.46518240469708
